user_id,Date,touchpoint,Journey Number,User-Journey,Row
a100000036,2018-01-01,House Ads,1,a100000036-1,2
a100000037,2018-01-01,Conversion,1,a100000037-1,1
a100000037,2018-01-01,House Ads,1,a100000037-1,2
a100000038,2018-01-01,House Ads,1,a100000038-1,1
a100000038,2018-01-01,Conversion,1,a100000038-1,2
a100000039,2018-01-01,Conversion,1,a100000039-1,1
a100000039,2018-01-01,House Ads,1,a100000039-1,2
a100000040,2018-01-01,Conversion,1,a100000040-1,1
a100000040,2018-01-01,House Ads,1,a100000040-1,2
a100000041,2018-01-01,Conversion,1,a100000041-1,1
a100000041,2018-01-01,House Ads,1,a100000041-1,2
a100000042,2018-01-01,House Ads,1,a100000042-1,1
a100000042,2018-01-01,Conversion,1,a100000042-1,2
a100000043,2018-01-01,House Ads,1,a100000043-1,1
a100000043,2018-01-01,Conversion,1,a100000043-1,2
a100000044,2018-01-01,Conversion,1,a100000044-1,1
a100000044,2018-01-01,House Ads,1,a100000044-1,2
a100000045,2018-01-02,Conversion,1,a100000045-1,1
a100000045,2018-01-02,House Ads,1,a100000045-1,2
a100000046,2018-01-02,Conversion,1,a100000046-1,1
a100000046,2018-01-02,House Ads,1,a100000046-1,2
a100000047,2018-01-02,Conversion,1,a100000047-1,1
a100000047,2018-01-02,House Ads,1,a100000047-1,2
a100000048,2018-01-02,House Ads,1,a100000048-1,1
a100000048,2018-01-02,Conversion,1,a100000048-1,2
a100000049,2018-01-02,Conversion,1,a100000049-1,1
a100000049,2018-01-02,House Ads,1,a100000049-1,2
a100000050,2018-01-01,House Ads,1,a100000050-1,1
a100000050,2018-01-02,House Ads,1,a100000050-1,2
a100000050,2018-01-02,Conversion,1,a100000050-1,3
a100000051,2018-01-01,Push,1,a100000051-1,1
a100000051,2018-01-02,Conversion,1,a100000051-1,2
a100000051,2018-01-02,House Ads,1,a100000051-1,3
a100000052,2018-01-01,House Ads,1,a100000052-1,1
a100000052,2018-01-02,Conversion,1,a100000052-1,2
a100000052,2018-01-02,House Ads,1,a100000052-1,3
a100000053,2018-01-01,House Ads,1,a100000053-1,1
a100000053,2018-01-02,Conversion,1,a100000053-1,2
a100000053,2018-01-02,House Ads,1,a100000053-1,3
a100000054,2018-01-01,House Ads,1,a100000054-1,1
a100000054,2018-01-02,Conversion,1,a100000054-1,2
a100000054,2018-01-02,House Ads,1,a100000054-1,3
a100000055,2018-01-01,Push,1,a100000055-1,1
a100000055,2018-01-02,Conversion,1,a100000055-1,2
a100000055,2018-01-02,House Ads,1,a100000055-1,3
a100000056,2018-01-01,Facebook,1,a100000056-1,1
a100000056,2018-01-02,Conversion,1,a100000056-1,2
a100000056,2018-01-02,House Ads,1,a100000056-1,3
a100000057,2018-01-01,Instagram,1,a100000057-1,1
a100000057,2018-01-02,House Ads,1,a100000057-1,2
a100000057,2018-01-02,Conversion,1,a100000057-1,3
a100000058,2018-01-01,Instagram,1,a100000058-1,1
a100000058,2018-01-02,House Ads,1,a100000058-1,2
a100000058,2018-01-02,Conversion,1,a100000058-1,3
a100000059,2018-01-01,Facebook,1,a100000059-1,1
a100000059,2018-01-02,House Ads,1,a100000059-1,2
a100000059,2018-01-02,Conversion,1,a100000059-1,3
a100000060,2018-01-01,House Ads,1,a100000060-1,1
a100000060,2018-01-02,Conversion,1,a100000060-1,2
a100000060,2018-01-02,House Ads,1,a100000060-1,3
a100000061,2018-01-01,House Ads,1,a100000061-1,1
a100000061,2018-01-02,Conversion,1,a100000061-1,2
a100000061,2018-01-02,House Ads,1,a100000061-1,3
a100000062,2018-01-01,House Ads,1,a100000062-1,1
a100000062,2018-01-03,Conversion,1,a100000062-1,2
a100000062,2018-01-03,House Ads,1,a100000062-1,3
a100000063,2018-01-01,House Ads,1,a100000063-1,1
a100000063,2018-01-03,House Ads,1,a100000063-1,2
a100000063,2018-01-03,Conversion,1,a100000063-1,3
a100000064,2018-01-01,Push,1,a100000064-1,1
a100000064,2018-01-03,House Ads,1,a100000064-1,2
a100000064,2018-01-03,Conversion,1,a100000064-1,3
a100000065,2018-01-01,House Ads,1,a100000065-1,1
a100000065,2018-01-03,House Ads,1,a100000065-1,2
a100000065,2018-01-03,Conversion,1,a100000065-1,3
a100000066,2018-01-01,House Ads,1,a100000066-1,1
a100000066,2018-01-03,House Ads,1,a100000066-1,2
a100000066,2018-01-03,Conversion,1,a100000066-1,3
a100000067,2018-01-03,Conversion,1,a100000067-1,1
a100000067,2018-01-03,House Ads,1,a100000067-1,2
a100000068,2018-01-03,Conversion,1,a100000068-1,1
a100000068,2018-01-03,House Ads,1,a100000068-1,2
a100000069,2018-01-03,House Ads,1,a100000069-1,1
a100000069,2018-01-03,Conversion,1,a100000069-1,2
a100000070,2018-01-03,Conversion,1,a100000070-1,1
a100000070,2018-01-03,House Ads,1,a100000070-1,2
a100000071,2018-01-03,House Ads,1,a100000071-1,1
a100000071,2018-01-03,Conversion,1,a100000071-1,2
a100000072,2018-01-03,House Ads,1,a100000072-1,1
a100000072,2018-01-03,Conversion,1,a100000072-1,2
a100000073,2018-01-03,House Ads,1,a100000073-1,1
a100000073,2018-01-03,Conversion,1,a100000073-1,2
a100000074,2018-01-01,Instagram,1,a100000074-1,1
a100000075,2018-01-03,House Ads,1,a100000075-1,1
a100000075,2018-01-03,Conversion,1,a100000075-1,2
a100000076,2018-01-03,Conversion,1,a100000076-1,1
a100000076,2018-01-03,House Ads,1,a100000076-1,2
a100000077,2018-01-03,Conversion,1,a100000077-1,1
a100000077,2018-01-03,House Ads,1,a100000077-1,2
a100000078,2018-01-03,House Ads,1,a100000078-1,1
a100000078,2018-01-03,Conversion,1,a100000078-1,2
a100000079,2018-01-03,Conversion,1,a100000079-1,1
a100000079,2018-01-03,House Ads,1,a100000079-1,2
a100000080,2018-01-04,House Ads,1,a100000080-1,1
a100000080,2018-01-04,Conversion,1,a100000080-1,2
a100000081,2018-01-04,House Ads,1,a100000081-1,1
a100000081,2018-01-04,Conversion,1,a100000081-1,2
a100000082,2018-01-04,House Ads,1,a100000082-1,1
a100000082,2018-01-04,Conversion,1,a100000082-1,2
a100000083,2018-01-04,Conversion,1,a100000083-1,1
a100000083,2018-01-04,House Ads,1,a100000083-1,2
a100000084,2018-01-01,Facebook,1,a100000084-1,1
a100000085,2018-01-04,House Ads,1,a100000085-1,1
a100000085,2018-01-04,Conversion,1,a100000085-1,2
a100000086,2018-01-04,Conversion,1,a100000086-1,1
a100000086,2018-01-04,House Ads,1,a100000086-1,2
a100000087,2018-01-04,House Ads,1,a100000087-1,1
a100000087,2018-01-04,Conversion,1,a100000087-1,2
a100000088,2018-01-04,Conversion,1,a100000088-1,1
a100000088,2018-01-04,House Ads,1,a100000088-1,2
a100000089,2018-01-04,Conversion,1,a100000089-1,1
a100000089,2018-01-04,House Ads,1,a100000089-1,2
a100000090,2018-01-04,House Ads,1,a100000090-1,1
a100000090,2018-01-04,Conversion,1,a100000090-1,2
a100000091,2018-01-04,House Ads,1,a100000091-1,1
a100000091,2018-01-04,Conversion,1,a100000091-1,2
a100000092,2018-01-04,Conversion,1,a100000092-1,1
a100000092,2018-01-04,House Ads,1,a100000092-1,2
a100000093,2018-01-04,Conversion,1,a100000093-1,1
a100000093,2018-01-04,House Ads,1,a100000093-1,2
a100000094,2018-01-04,Conversion,1,a100000094-1,1
a100000094,2018-01-04,House Ads,1,a100000094-1,2
a100000095,2018-01-04,House Ads,1,a100000095-1,1
a100000095,2018-01-04,Conversion,1,a100000095-1,2
a100000096,2018-01-05,House Ads,1,a100000096-1,1
a100000096,2018-01-05,Conversion,1,a100000096-1,2
a100000097,2018-01-05,Conversion,1,a100000097-1,1
a100000097,2018-01-05,House Ads,1,a100000097-1,2
a100000098,2018-01-05,Conversion,1,a100000098-1,1
a100000098,2018-01-05,House Ads,1,a100000098-1,2
a100000099,2018-01-04,House Ads,1,a100000099-1,1
a100000099,2018-01-05,House Ads,1,a100000099-1,2
a100000099,2018-01-05,Conversion,1,a100000099-1,3
a100000100,2018-01-04,House Ads,1,a100000100-1,1
a100000100,2018-01-05,House Ads,1,a100000100-1,2
a100000100,2018-01-05,Conversion,1,a100000100-1,3
a100000101,2018-01-04,House Ads,1,a100000101-1,1
a100000101,2018-01-05,Conversion,1,a100000101-1,2
a100000101,2018-01-05,House Ads,1,a100000101-1,3
a100000102,2018-01-04,House Ads,1,a100000102-1,1
a100000102,2018-01-05,Conversion,1,a100000102-1,2
a100000102,2018-01-05,House Ads,1,a100000102-1,3
a100000103,2018-01-04,House Ads,1,a100000103-1,1
a100000103,2018-01-05,Conversion,1,a100000103-1,2
a100000103,2018-01-05,House Ads,1,a100000103-1,3
a100000104,2018-01-04,House Ads,1,a100000104-1,1
a100000104,2018-01-05,House Ads,1,a100000104-1,2
a100000104,2018-01-05,Conversion,1,a100000104-1,3
a100000105,2018-01-04,House Ads,1,a100000105-1,1
a100000105,2018-01-05,House Ads,1,a100000105-1,2
a100000105,2018-01-05,Conversion,1,a100000105-1,3
a100000106,2018-01-01,House Ads,1,a100000106-1,1
a100000107,2018-01-04,House Ads,1,a100000107-1,1
a100000107,2018-01-05,House Ads,1,a100000107-1,2
a100000107,2018-01-05,Conversion,1,a100000107-1,3
a100000108,2018-01-04,House Ads,1,a100000108-1,1
a100000108,2018-01-05,House Ads,1,a100000108-1,2
a100000108,2018-01-05,Conversion,1,a100000108-1,3
a100000109,2018-01-04,House Ads,1,a100000109-1,1
a100000109,2018-01-05,House Ads,1,a100000109-1,2
a100000109,2018-01-05,Conversion,1,a100000109-1,3
a100000110,2018-01-04,House Ads,1,a100000110-1,1
a100000110,2018-01-05,Conversion,1,a100000110-1,2
a100000110,2018-01-05,House Ads,1,a100000110-1,3
a100000111,2018-01-04,House Ads,1,a100000111-1,1
a100000111,2018-01-05,House Ads,1,a100000111-1,2
a100000111,2018-01-05,Conversion,1,a100000111-1,3
a100000112,2018-01-04,House Ads,1,a100000112-1,1
a100000112,2018-01-05,House Ads,1,a100000112-1,2
a100000112,2018-01-05,Conversion,1,a100000112-1,3
a100000113,2018-01-05,House Ads,1,a100000113-1,1
a100000113,2018-01-05,Conversion,1,a100000113-1,2
a100000114,2018-01-05,Conversion,1,a100000114-1,1
a100000114,2018-01-05,House Ads,1,a100000114-1,2
a100000115,2018-01-02,House Ads,1,a100000115-1,1
a100000116,2018-01-02,Push,1,a100000116-1,1
a100000117,2018-01-02,Facebook,1,a100000117-1,1
a100000118,2018-01-02,Instagram,1,a100000118-1,1
a100000119,2018-01-02,Instagram,1,a100000119-1,1
a100000120,2018-01-02,Facebook,1,a100000120-1,1
a100000121,2018-01-02,House Ads,1,a100000121-1,1
a100000122,2018-01-03,House Ads,1,a100000122-1,1
a100000123,2018-01-03,Push,1,a100000123-1,1
a100000124,2018-01-03,Facebook,1,a100000124-1,1
a100000125,2018-01-03,Instagram,1,a100000125-1,1
a100000126,2018-01-03,Instagram,1,a100000126-1,1
a100000127,2018-01-05,House Ads,1,a100000127-1,1
a100000127,2018-01-05,Conversion,1,a100000127-1,2
a100000128,2018-01-05,House Ads,1,a100000128-1,1
a100000128,2018-01-05,Conversion,1,a100000128-1,2
a100000129,2018-01-06,House Ads,1,a100000129-1,1
a100000129,2018-01-06,Conversion,1,a100000129-1,2
a100000130,2018-01-06,House Ads,1,a100000130-1,1
a100000130,2018-01-06,Conversion,1,a100000130-1,2
a100000131,2018-01-06,Conversion,1,a100000131-1,1
a100000131,2018-01-06,House Ads,1,a100000131-1,2
a100000132,2018-01-06,House Ads,1,a100000132-1,1
a100000132,2018-01-06,Conversion,1,a100000132-1,2
a100000133,2018-01-06,House Ads,1,a100000133-1,1
a100000133,2018-01-06,Conversion,1,a100000133-1,2
a100000134,2018-01-06,Conversion,1,a100000134-1,1
a100000134,2018-01-06,House Ads,1,a100000134-1,2
a100000135,2018-01-17,Instagram,1,a100000135-1,1
a100000136,2018-01-17,Instagram,1,a100000136-1,1
a100000137,2018-01-18,Facebook,1,a100000137-1,1
a100000138,2018-01-03,Facebook,1,a100000138-1,1
a100000139,2018-01-03,House Ads,1,a100000139-1,1
a100000140,2018-01-04,House Ads,1,a100000140-1,1
a100000141,2018-01-04,Push,1,a100000141-1,1
a100000142,2018-01-04,Facebook,1,a100000142-1,1
a100000143,2018-01-04,Instagram,1,a100000143-1,1
a100000144,2018-01-18,House Ads,1,a100000144-1,1
a100000145,2018-01-18,House Ads,1,a100000145-1,1
a100000146,2018-01-18,House Ads,1,a100000146-1,1
a100000147,2018-01-18,Push,1,a100000147-1,1
a100000148,2018-01-18,Facebook,1,a100000148-1,1
a100000149,2018-01-18,Instagram,1,a100000149-1,1
a100000150,2018-01-06,House Ads,1,a100000150-1,1
a100000150,2018-01-06,Conversion,1,a100000150-1,2
a100000151,2018-01-06,House Ads,1,a100000151-1,1
a100000151,2018-01-06,Conversion,1,a100000151-1,2
a100000152,2018-01-06,Conversion,1,a100000152-1,1
a100000152,2018-01-06,House Ads,1,a100000152-1,2
a100000153,2018-01-06,House Ads,1,a100000153-1,1
a100000153,2018-01-06,Conversion,1,a100000153-1,2
a100000154,2018-01-06,House Ads,1,a100000154-1,1
a100000154,2018-01-06,Conversion,1,a100000154-1,2
a100000155,2018-01-06,Conversion,1,a100000155-1,1
a100000155,2018-01-06,House Ads,1,a100000155-1,2
a100000156,2018-01-06,House Ads,1,a100000156-1,1
a100000156,2018-01-06,Conversion,1,a100000156-1,2
a100000157,2018-01-06,House Ads,1,a100000157-1,1
a100000157,2018-01-06,Conversion,1,a100000157-1,2
a100000158,2018-01-04,Instagram,1,a100000158-1,1
a100000159,2018-01-04,Facebook,1,a100000159-1,1
a100000160,2018-01-04,House Ads,1,a100000160-1,1
a100000161,2018-01-05,House Ads,1,a100000161-1,1
a100000162,2018-01-06,Conversion,1,a100000162-1,1
a100000162,2018-01-06,House Ads,1,a100000162-1,2
a100000163,2018-01-06,Conversion,1,a100000163-1,1
a100000163,2018-01-06,House Ads,1,a100000163-1,2
a100000164,2018-01-06,Conversion,1,a100000164-1,1
a100000164,2018-01-06,House Ads,1,a100000164-1,2
a100000165,2018-01-07,Conversion,1,a100000165-1,1
a100000165,2018-01-07,House Ads,1,a100000165-1,2
a100000166,2018-01-07,House Ads,1,a100000166-1,1
a100000166,2018-01-07,Conversion,1,a100000166-1,2
a100000167,2018-01-07,Conversion,1,a100000167-1,1
a100000167,2018-01-07,House Ads,1,a100000167-1,2
a100000168,2018-01-07,House Ads,1,a100000168-1,1
a100000168,2018-01-07,Conversion,1,a100000168-1,2
a100000169,2018-01-07,House Ads,1,a100000169-1,1
a100000169,2018-01-07,Conversion,1,a100000169-1,2
a100000170,2018-01-07,House Ads,1,a100000170-1,1
a100000170,2018-01-07,Conversion,1,a100000170-1,2
a100000171,2018-01-07,Conversion,1,a100000171-1,1
a100000171,2018-01-07,House Ads,1,a100000171-1,2
a100000172,2018-01-07,Conversion,1,a100000172-1,1
a100000172,2018-01-07,House Ads,1,a100000172-1,2
a100000173,2018-01-19,Instagram,1,a100000173-1,1
a100000174,2018-01-30,Instagram,1,a100000174-1,1
a100000175,2018-01-30,Facebook,1,a100000175-1,1
a100000176,2018-01-30,House Ads,1,a100000176-1,1
a100000177,2018-01-05,Push,1,a100000177-1,1
a100000178,2018-01-05,Facebook,1,a100000178-1,1
a100000179,2018-01-05,Instagram,1,a100000179-1,1
a100000180,2018-01-05,Instagram,1,a100000180-1,1
a100000181,2018-01-05,Facebook,1,a100000181-1,1
a100000182,2018-01-05,House Ads,1,a100000182-1,1
a100000183,2018-01-06,House Ads,1,a100000183-1,1
a100000184,2018-01-02,House Ads,1,a100000184-1,1
a100000184,2018-01-06,Push,1,a100000184-1,2
a100000184,2018-01-12,House Ads,1,a100000184-1,3
a100000185,2018-01-31,House Ads,1,a100000185-1,1
a100000186,2018-01-31,Push,1,a100000186-1,1
a100000187,2018-01-31,Facebook,1,a100000187-1,1
a100000188,2018-01-31,Instagram,1,a100000188-1,1
a100000189,2018-01-31,Instagram,1,a100000189-1,1
a100000190,2018-01-31,Facebook,1,a100000190-1,1
a100000191,2018-01-31,House Ads,1,a100000191-1,1
a100000192,2018-01-01,House Ads,1,a100000192-1,1
a100000193,2018-01-01,House Ads,1,a100000193-1,1
a100000194,2018-01-01,Push,1,a100000194-1,1
a100000195,2018-01-01,Facebook,1,a100000195-1,1
a100000196,2018-01-01,Instagram,1,a100000196-1,1
a100000197,2018-01-01,Instagram,1,a100000197-1,1
a100000198,2018-01-01,Facebook,1,a100000198-1,1
a100000199,2018-01-02,House Ads,1,a100000199-1,1
a100000200,2018-01-02,House Ads,1,a100000200-1,1
a100000201,2018-01-02,House Ads,1,a100000201-1,1
a100000202,2018-01-02,Push,1,a100000202-1,1
a100000203,2018-01-02,Facebook,1,a100000203-1,1
a100000204,2018-01-02,Instagram,1,a100000204-1,1
a100000205,2018-01-19,Facebook,1,a100000205-1,1
a100000206,2018-01-02,House Ads,1,a100000206-1,1
a100000206,2018-01-06,Facebook,1,a100000206-1,2
a100000206,2018-01-12,House Ads,1,a100000206-1,3
a100000207,2018-01-02,House Ads,1,a100000207-1,1
a100000207,2018-01-06,Instagram,1,a100000207-1,2
a100000207,2018-01-12,House Ads,1,a100000207-1,3
a100000208,2018-01-02,House Ads,1,a100000208-1,1
a100000208,2018-01-06,Instagram,1,a100000208-1,2
a100000208,2018-01-12,House Ads,1,a100000208-1,3
a100000209,2018-01-03,House Ads,1,a100000209-1,1
a100000209,2018-01-06,Facebook,1,a100000209-1,2
a100000209,2018-01-12,House Ads,1,a100000209-1,3
a100000210,2018-01-03,House Ads,1,a100000210-1,1
a100000210,2018-01-06,House Ads,1,a100000210-1,2
a100000210,2018-01-13,House Ads,1,a100000210-1,3
a100000211,2018-01-03,House Ads,1,a100000211-1,1
a100000211,2018-01-07,House Ads,1,a100000211-1,2
a100000211,2018-01-13,House Ads,1,a100000211-1,3
a100000212,2018-01-03,House Ads,1,a100000212-1,1
a100000212,2018-01-07,Push,1,a100000212-1,2
a100000212,2018-01-13,House Ads,1,a100000212-1,3
a100000213,2018-01-03,House Ads,1,a100000213-1,1
a100000213,2018-01-07,Facebook,1,a100000213-1,2
a100000213,2018-01-13,House Ads,1,a100000213-1,3
a100000214,2018-01-03,House Ads,1,a100000214-1,1
a100000214,2018-01-07,Instagram,1,a100000214-1,2
a100000214,2018-01-13,House Ads,1,a100000214-1,3
a100000215,2018-01-03,House Ads,1,a100000215-1,1
a100000215,2018-01-07,Instagram,1,a100000215-1,2
a100000215,2018-01-13,House Ads,1,a100000215-1,3
a100000216,2018-01-04,House Ads,1,a100000216-1,1
a100000216,2018-01-07,Facebook,1,a100000216-1,2
a100000216,2018-01-13,House Ads,1,a100000216-1,3
a100000217,2018-01-04,House Ads,1,a100000217-1,1
a100000217,2018-01-08,House Ads,1,a100000217-1,2
a100000217,2018-01-14,House Ads,1,a100000217-1,3
a100000218,2018-01-04,House Ads,1,a100000218-1,1
a100000218,2018-01-08,House Ads,1,a100000218-1,2
a100000218,2018-01-14,House Ads,1,a100000218-1,3
a100000219,2018-01-04,House Ads,1,a100000219-1,1
a100000219,2018-01-08,Push,1,a100000219-1,2
a100000219,2018-01-14,House Ads,1,a100000219-1,3
a100000220,2018-01-04,House Ads,1,a100000220-1,1
a100000220,2018-01-08,Facebook,1,a100000220-1,2
a100000220,2018-01-14,House Ads,1,a100000220-1,3
a100000221,2018-01-19,House Ads,1,a100000221-1,1
a100000222,2018-01-19,House Ads,1,a100000222-1,1
a100000223,2018-01-19,House Ads,1,a100000223-1,1
a100000224,2018-01-19,Push,1,a100000224-1,1
a100000225,2018-01-19,Facebook,1,a100000225-1,1
a100000226,2018-01-20,Instagram,1,a100000226-1,1
a100000227,2018-01-20,Instagram,1,a100000227-1,1
a100000228,2018-01-20,Facebook,1,a100000228-1,1
a100000229,2018-01-20,House Ads,1,a100000229-1,1
a100000230,2018-01-20,House Ads,1,a100000230-1,1
a100000231,2018-01-20,House Ads,1,a100000231-1,1
a100000232,2018-01-20,Push,1,a100000232-1,1
a100000233,2018-01-21,Facebook,1,a100000233-1,1
a100000234,2018-01-21,Instagram,1,a100000234-1,1
a100000235,2018-01-21,Instagram,1,a100000235-1,1
a100000236,2018-01-21,Facebook,1,a100000236-1,1
a100000237,2018-01-21,House Ads,1,a100000237-1,1
a100000238,2018-01-21,House Ads,1,a100000238-1,1
a100000239,2018-01-21,House Ads,1,a100000239-1,1
a100000240,2018-01-22,Push,1,a100000240-1,1
a100000241,2018-01-22,Facebook,1,a100000241-1,1
a100000242,2018-01-22,Instagram,1,a100000242-1,1
a100000243,2018-01-22,Instagram,1,a100000243-1,1
a100000244,2018-01-22,Facebook,1,a100000244-1,1
a100000245,2018-01-22,House Ads,1,a100000245-1,1
a100000246,2018-01-22,House Ads,1,a100000246-1,1
a100000247,2018-01-23,House Ads,1,a100000247-1,1
a100000248,2018-01-23,Push,1,a100000248-1,1
a100000249,2018-01-23,Facebook,1,a100000249-1,1
a100000250,2018-01-07,House Ads,1,a100000250-1,1
a100000250,2018-01-07,Conversion,1,a100000250-1,2
a100000251,2018-01-07,Conversion,1,a100000251-1,1
a100000251,2018-01-07,House Ads,1,a100000251-1,2
a100000252,2018-01-07,House Ads,1,a100000252-1,1
a100000252,2018-01-07,Conversion,1,a100000252-1,2
a100000253,2018-01-07,House Ads,1,a100000253-1,1
a100000253,2018-01-07,Conversion,1,a100000253-1,2
a100000254,2018-01-07,Conversion,1,a100000254-1,1
a100000254,2018-01-07,House Ads,1,a100000254-1,2
a100000255,2018-01-07,House Ads,1,a100000255-1,1
a100000255,2018-01-07,Conversion,1,a100000255-1,2
a100000256,2018-01-07,Conversion,1,a100000256-1,1
a100000256,2018-01-07,House Ads,1,a100000256-1,2
a100000257,2018-01-07,House Ads,1,a100000257-1,1
a100000257,2018-01-07,Conversion,1,a100000257-1,2
a100000258,2018-01-07,Conversion,1,a100000258-1,1
a100000258,2018-01-07,House Ads,1,a100000258-1,2
a100000259,2018-01-07,Conversion,1,a100000259-1,1
a100000259,2018-01-07,House Ads,1,a100000259-1,2
a100000260,2018-01-07,House Ads,1,a100000260-1,1
a100000260,2018-01-07,Conversion,1,a100000260-1,2
a100000261,2018-01-08,Conversion,1,a100000261-1,1
a100000261,2018-01-08,House Ads,1,a100000261-1,2
a100000262,2018-01-08,House Ads,1,a100000262-1,1
a100000262,2018-01-08,Conversion,1,a100000262-1,2
a100000263,2018-01-08,Conversion,1,a100000263-1,1
a100000263,2018-01-08,House Ads,1,a100000263-1,2
a100000264,2018-01-08,House Ads,1,a100000264-1,1
a100000264,2018-01-08,Conversion,1,a100000264-1,2
a100000265,2018-01-08,House Ads,1,a100000265-1,1
a100000265,2018-01-08,Conversion,1,a100000265-1,2
a100000266,2018-01-08,Conversion,1,a100000266-1,1
a100000266,2018-01-08,House Ads,1,a100000266-1,2
a100000267,2018-01-08,Conversion,1,a100000267-1,1
a100000267,2018-01-08,House Ads,1,a100000267-1,2
a100000268,2018-01-08,House Ads,1,a100000268-1,1
a100000268,2018-01-08,Conversion,1,a100000268-1,2
a100000269,2018-01-08,Conversion,1,a100000269-1,1
a100000269,2018-01-08,House Ads,1,a100000269-1,2
a100000270,2018-01-08,House Ads,1,a100000270-1,1
a100000270,2018-01-08,Conversion,1,a100000270-1,2
a100000271,2018-01-08,House Ads,1,a100000271-1,1
a100000271,2018-01-08,Conversion,1,a100000271-1,2
a100000272,2018-01-08,House Ads,1,a100000272-1,1
a100000272,2018-01-08,Conversion,1,a100000272-1,2
a100000273,2018-01-08,Conversion,1,a100000273-1,1
a100000273,2018-01-08,House Ads,1,a100000273-1,2
a100000274,2018-01-08,House Ads,1,a100000274-1,1
a100000274,2018-01-08,Conversion,1,a100000274-1,2
a100000275,2018-01-08,House Ads,1,a100000275-1,1
a100000275,2018-01-08,Conversion,1,a100000275-1,2
a100000276,2018-01-08,Conversion,1,a100000276-1,1
a100000276,2018-01-08,House Ads,1,a100000276-1,2
a100000277,2018-01-09,House Ads,1,a100000277-1,1
a100000277,2018-01-09,Conversion,1,a100000277-1,2
a100000278,2018-01-09,House Ads,1,a100000278-1,1
a100000278,2018-01-09,Conversion,1,a100000278-1,2
a100000279,2018-01-09,House Ads,1,a100000279-1,1
a100000279,2018-01-09,Conversion,1,a100000279-1,2
a100000280,2018-01-09,Conversion,1,a100000280-1,1
a100000280,2018-01-09,House Ads,1,a100000280-1,2
a100000281,2018-01-09,Conversion,1,a100000281-1,1
a100000281,2018-01-09,House Ads,1,a100000281-1,2
a100000282,2018-01-09,Conversion,1,a100000282-1,1
a100000282,2018-01-09,House Ads,1,a100000282-1,2
a100000283,2018-01-09,Conversion,1,a100000283-1,1
a100000283,2018-01-09,House Ads,1,a100000283-1,2
a100000284,2018-01-09,House Ads,1,a100000284-1,1
a100000284,2018-01-09,Conversion,1,a100000284-1,2
a100000285,2018-01-09,Conversion,1,a100000285-1,1
a100000285,2018-01-09,House Ads,1,a100000285-1,2
a100000286,2018-01-09,House Ads,1,a100000286-1,1
a100000286,2018-01-09,Conversion,1,a100000286-1,2
a100000287,2018-01-09,House Ads,1,a100000287-1,1
a100000287,2018-01-09,Conversion,1,a100000287-1,2
a100000288,2018-01-09,Conversion,1,a100000288-1,1
